stay day,dta 200,dta 100,dta 50,dta 28,dta 21,dta 17,dta 14
2014-08-11 00:00:00,11,11,37,38,38,38,38
2014-08-12 00:00:00,0,0,26,27,27,27,27
2014-08-13 00:00:00,0,0,26,27,27,27,27
2014-08-14 00:00:00,0,0,26,27,27,27,28
2014-08-17 00:00:00,0,5,7,8,8,9,9
2014-08-18 00:00:00,17,22,23,7,7,8,8
2014-08-19 00:00:00,0,8,9,23,23,19,21
2014-08-20 00:00:00,75,75,70,66,77,78,100
2014-08-21 00:00:00,27,27,41,49,50,50,52
2014-08-24 00:00:00,90,100,113,130,131,134,133
2014-08-25 00:00:00,37,61,84,101,103,108,110
2014-08-26 00:00:00,82,91,113,113,118,120,124
2014-08-27 00:00:00,77,84,102,124,127,129,133
2014-08-28 00:00:00,16,24,40,67,70,74,76
2014-08-31 00:00:00,15,16,19,46,48,52,52
2014-09-01 00:00:00,41,41,27,27,28,31,31
2014-09-02 00:00:00,38,38,40,42,43,47,48
2014-09-03 00:00:00,47,47,50,54,55,56,58
2014-09-04 00:00:00,43,43,45,57,60,58,60
2014-09-07 00:00:00,92,102,125,125,123,107,108
2014-09-08 00:00:00,49,69,51,53,62,68,70
2014-09-09 00:00:00,12,16,20,35,39,44,48
2014-09-10 00:00:00,76,77,67,73,74,75,79
2014-09-11 00:00:00,67,68,63,73,74,75,76
2014-09-14 00:00:00,36,92,104,108,117,118,119
2014-09-15 00:00:00,116,120,120,108,116,120,119
2014-09-16 00:00:00,78,80,82,84,85,89,90
2014-09-17 00:00:00,71,75,85,89,91,116,119
2014-09-18 00:00:00,23,27,48,63,71,92,96
2014-09-21 00:00:00,88,92,92,92,92,94,94
2014-09-22 00:00:00,37,41,46,30,30,35,40
2014-09-23 00:00:00,20,24,40,41,43,50,53
2014-09-24 00:00:00,38,40,41,35,39,44,46
2014-09-25 00:00:00,121,137,139,139,141,143,145
2014-09-28 00:00:00,8,9,9,11,13,15,15
2014-09-29 00:00:00,40,41,41,23,29,31,31
2014-09-30 00:00:00,31,32,32,34,39,41,46
2014-10-01 00:00:00,59,60,66,67,70,69,77
2014-10-02 00:00:00,0,1,1,7,18,18,20
2014-10-05 00:00:00,68,69,71,68,66,65,71
2014-10-06 00:00:00,56,57,57,53,51,58,41
2014-10-07 00:00:00,23,24,24,17,18,25,28
2014-10-08 00:00:00,46,48,48,41,35,69,72
2014-10-09 00:00:00,12,21,21,24,25,32,36
2014-10-12 00:00:00,33,35,35,55,56,58,59
2014-10-13 00:00:00,38,56,56,56,41,54,55
2014-10-14 00:00:00,0,1,1,3,6,11,13
2014-10-15 00:00:00,62,63,63,66,69,74,77
2014-10-16 00:00:00,34,35,35,42,46,48,51
2014-10-19 00:00:00,0,1,2,4,6,8,9
2014-10-20 00:00:00,18,19,25,39,47,49,52
2014-10-21 00:00:00,18,19,30,48,60,64,66
2014-10-22 00:00:00,23,24,43,60,62,67,72
2014-10-23 00:00:00,0,1,15,33,34,38,42
2014-10-26 00:00:00,0,2,17,29,30,32,32
2014-10-27 00:00:00,0,1,9,20,21,23,21
2014-10-28 00:00:00,0,1,1,12,13,15,22
2014-10-29 00:00:00,0,1,1,11,14,14,19
2014-10-30 00:00:00,0,1,1,3,4,4,9
2014-11-02 00:00:00,0,1,1,4,6,8,9
2014-11-03 00:00:00,0,1,1,24,26,33,35
2014-11-04 00:00:00,0,1,32,33,37,44,48
2014-11-05 00:00:00,0,44,75,81,89,91,100
2014-11-06 00:00:00,0,45,76,79,80,82,90
2014-11-09 00:00:00,0,1,32,38,39,40,40
2014-11-10 00:00:00,0,1,34,36,36,36,36
2014-11-11 00:00:00,0,1,46,47,47,47,47
2014-11-12 00:00:00,0,2,47,51,51,51,56
2014-11-13 00:00:00,0,7,42,42,42,42,46
2014-11-16 00:00:00,0,2,99,101,102,44,44
2014-11-17 00:00:00,0,38,133,136,141,154,156
2014-11-18 00:00:00,0,36,130,135,139,147,148
2014-11-19 00:00:00,0,2,98,100,104,110,126
2014-11-20 00:00:00,0,7,122,124,116,116,138
2014-11-23 00:00:00,0,1,21,22,15,15,15
2014-11-24 00:00:00,0,1,21,22,10,11,12
2014-11-25 00:00:00,0,1,21,22,11,12,14
2014-11-26 00:00:00,0,4,21,49,50,51,55
2014-11-27 00:00:00,17,27,32,66,71,72,78
2014-11-30 00:00:00,0,1,1,3,12,12,14
2014-12-01 00:00:00,0,0,0,2,5,7,8
2014-12-02 00:00:00,0,0,0,2,2,5,8
2014-12-03 00:00:00,0,1,1,3,3,6,13
2014-12-04 00:00:00,0,3,3,7,7,13,19
2014-12-07 00:00:00,26,26,26,30,33,38,39
2014-12-08 00:00:00,0,0,0,6,9,16,16
2014-12-09 00:00:00,0,0,0,8,16,18,18
2014-12-10 00:00:00,0,1,1,9,18,18,22
2014-12-11 00:00:00,0,1,1,16,24,24,28
2014-12-14 00:00:00,0,1,1,6,10,10,10
2014-12-15 00:00:00,0,1,1,5,8,8,8
2014-12-16 00:00:00,0,1,2,7,9,9,9
2014-12-17 00:00:00,0,1,2,6,6,6,6
2014-12-18 00:00:00,0,1,2,6,6,6,6
2014-12-21 00:00:00,0,0,3,5,5,5,5
2014-12-22 00:00:00,0,0,2,4,4,4,4
2014-12-23 00:00:00,0,0,2,2,3,3,3
2014-12-24 00:00:00,0,0,2,2,3,3,3
2014-12-25 00:00:00,0,0,2,2,2,2,3
2014-12-28 00:00:00,0,0,3,3,5,7,7
2014-12-29 00:00:00,0,0,2,9,13,14,17
2014-12-30 00:00:00,26,29,40,43,58,69,75
2014-12-31 00:00:00,26,29,44,56,97,122,132
2015-01-01 00:00:00,26,27,41,44,64,78,81
2015-01-04 00:00:00,0,0,2,6,6,6,7
2015-01-05 00:00:00,0,0,2,5,5,5,5
2015-01-06 00:00:00,0,0,2,4,4,4,7
2015-01-07 00:00:00,0,0,2,4,4,4,8
2015-01-08 00:00:00,0,0,2,3,8,13,16
2015-01-11 00:00:00,0,0,2,4,7,9,9
2015-01-12 00:00:00,0,0,2,4,8,10,10
2015-01-13 00:00:00,0,0,1,4,9,9,9
2015-01-14 00:00:00,0,0,1,2,6,6,8
2015-01-15 00:00:00,0,0,1,4,8,8,10
2015-01-18 00:00:00,0,0,0,0,3,5,6
2015-01-19 00:00:00,0,0,3,3,3,5,6
2015-01-20 00:00:00,0,0,0,2,2,4,5
2015-01-21 00:00:00,0,0,0,2,3,3,3
2015-01-22 00:00:00,0,0,0,1,2,2,3
2015-01-25 00:00:00,0,0,1,1,2,2,2
2015-01-26 00:00:00,0,0,1,1,4,4,6
2015-01-27 00:00:00,0,0,2,2,3,3,11
2015-01-28 00:00:00,0,0,2,3,3,3,13
2015-01-29 00:00:00,0,0,1,2,2,3,10
2015-02-01 00:00:00,0,0,1,2,3,3,3
2015-02-02 00:00:00,0,0,0,1,1,3,8
2015-02-03 00:00:00,0,0,0,1,1,3,5
2015-02-04 00:00:00,0,0,0,1,1,1,41
2015-02-05 00:00:00,0,0,0,9,9,11,27
2015-02-08 00:00:00,0,0,2,2,2,13,14
2015-02-09 00:00:00,0,0,8,9,9,22,22
2015-02-10 00:00:00,0,0,4,4,7,10,12
2015-02-11 00:00:00,0,0,0,0,1,4,5
2015-02-12 00:00:00,0,0,0,1,4,4,5
2015-02-15 00:00:00,0,0,0,0,5,5,5
2015-02-16 00:00:00,0,0,0,0,3,5,5
2015-02-17 00:00:00,0,0,0,0,3,5,7
2015-02-18 00:00:00,0,0,0,0,0,2,4
2015-02-19 00:00:00,0,0,0,2,2,3,5
2015-02-22 00:00:00,0,0,0,0,1,1,1
2015-02-23 00:00:00,0,0,0,0,1,1,2
2015-02-24 00:00:00,0,0,0,1,1,1,3
