stay day,dta 7 - bookings,dta 4 bookings,dta 0 - bookings
2014-08-11 00:00:00,42,40,37
2014-08-12 00:00:00,28,26,25
2014-08-13 00:00:00,26,26,25
2014-08-14 00:00:00,26,26,25
2014-08-17 00:00:00,9,11,11
2014-08-18 00:00:00,11,12,12
2014-08-19 00:00:00,22,22,22
2014-08-20 00:00:00,100,100,100
2014-08-21 00:00:00,69,69,71
2014-08-24 00:00:00,140,143,155
2014-08-25 00:00:00,109,115,133
2014-08-26 00:00:00,128,135,153
2014-08-27 00:00:00,160,170,173
2014-08-28 00:00:00,121,122,136
2014-08-31 00:00:00,53,58,64
2014-09-01 00:00:00,43,54,77
2014-09-02 00:00:00,58,75,99
2014-09-03 00:00:00,74,91,133
2014-09-04 00:00:00,76,79,97
2014-09-07 00:00:00,125,145,154
2014-09-08 00:00:00,83,112,134
2014-09-09 00:00:00,67,86,114
2014-09-10 00:00:00,113,133,166
2014-09-11 00:00:00,86,89,123
2014-09-14 00:00:00,121,129,134
2014-09-15 00:00:00,133,141,154
2014-09-16 00:00:00,106,113,133
2014-09-17 00:00:00,159,165,175
2014-09-18 00:00:00,152,163,175
2014-09-21 00:00:00,100,102,110
2014-09-22 00:00:00,47,56,71
2014-09-23 00:00:00,59,91,108
2014-09-24 00:00:00,79,111,125
2014-09-25 00:00:00,168,172,175
2014-09-28 00:00:00,15,21,27
2014-09-29 00:00:00,41,49,64
2014-09-30 00:00:00,55,70,89
2014-10-01 00:00:00,116,128,160
2014-10-02 00:00:00,36,46,83
2014-10-05 00:00:00,77,83,92
2014-10-06 00:00:00,60,72,89
2014-10-07 00:00:00,62,91,120
2014-10-08 00:00:00,121,148,168
2014-10-09 00:00:00,54,70,96
2014-10-12 00:00:00,65,69,83
2014-10-13 00:00:00,60,68,85
2014-10-14 00:00:00,40,52,76
2014-10-15 00:00:00,91,110,140
2014-10-16 00:00:00,66,76,112
2014-10-19 00:00:00,14,16,26
2014-10-20 00:00:00,65,77,89
2014-10-21 00:00:00,85,102,123
2014-10-22 00:00:00,99,104,135
2014-10-23 00:00:00,52,54,68
2014-10-26 00:00:00,39,41,51
2014-10-27 00:00:00,34,42,55
2014-10-28 00:00:00,32,40,60
